Station,ID,Bikes Available,Docks Available
"Harper Road, The Borough",BikePoints_249,33,9
"Royal Avenue 1, Chelsea",BikePoints_250,5,4
"Brushfield Street, Liverpool Street",BikePoints_251,23,9
"Shoreditch Park, Hoxton",BikePoints_253,6,23
"Chadwell Street, Angel",BikePoints_254,1,14
"Clifton Road, Maida Vale",BikePoints_255,3,19
"Houghton Street, Strand",BikePoints_256,3,12
"Westminster University, Marylebone",BikePoints_257,1,15
"Kensington Gore, Knightsbridge",BikePoints_258,4,18
"Bourne Street, Belgravia",BikePoints_259,9,6
"Broadwick Street, Soho",BikePoints_260,15,3
"Princes Square, Bayswater",BikePoints_261,1,15
"LSBU (Borough Road), Elephant & Castle",BikePoints_262,15,20
"St. Mary Axe, Aldgate",BikePoints_263,11,9
"Tysoe Street, Clerkenwell",BikePoints_264,3,17
"Southwick Street, Paddington",BikePoints_265,5,12
"Queen's Gate (North), Kensington",BikePoints_266,24,17
"Regency Street, Westminster",BikePoints_267,3,19
"Belgrave Road, Victoria",BikePoints_268,24,4
"Empire Square, The Borough",BikePoints_269,23,23
"Kennington Lane Rail Bridge, Vauxhall",BikePoints_270,7,24
"London Zoo,  The Regent's Park",BikePoints_271,9,23
"Baylis Road, Waterloo",BikePoints_272,10,12
"Belvedere Road 1, South Bank",BikePoints_273,12,25
"Warwick Road, Olympia",BikePoints_274,16,19
"Barbican Centre, Barbican",BikePoints_275,17,2
"Lower Thames Street, Monument",BikePoints_276,19,4
"Kensington Church Street, Kensington",BikePoints_277,10,6
"Tooley Street, Bermondsey",BikePoints_278,24,0
"North Wharf Road, Paddington",BikePoints_279,4,18
"Royal Avenue 2, Chelsea",BikePoints_280,5,3
"Smith Square, Westminster",BikePoints_281,12,6
"Royal London Hospital, Whitechapel",BikePoints_282,12,30
"Kingsway, Covent Garden",BikePoints_283,5,11
"Lambeth North Station, Waterloo",BikePoints_284,14,5
"St. John's Wood Road, St. John's Wood",BikePoints_286,6,27
"Bedford Way, Bloomsbury",BikePoints_287,3,18
"Elizabeth Bridge, Victoria",BikePoints_288,30,3
"South Audley Street, Mayfair",BikePoints_289,14,1
"St Mary's Hospital, Paddington",BikePoints_290,0,19
"Claverton Street, Pimlico",BikePoints_291,13,18
"Montpelier Street, Knightsbridge",BikePoints_292,14,2
"Kensington Olympia Station, Olympia",BikePoints_293,2,21
"St. George's Square, Pimlico",BikePoints_294,1,13
"Swan Street, The Borough",BikePoints_295,2,24
"Knaresborough Place, Earl's Court",BikePoints_296,10,8
"Geraldine Street, Elephant & Castle",BikePoints_297,8,9
"Curlew Street, Shad Thames",BikePoints_298,19,1
"Vincent Square, Westminster",BikePoints_299,6,12
"Serpentine Car Park, Hyde Park",BikePoints_300,1,16
"Marylebone Lane, Marylebone",BikePoints_301,18,6
"Putney Pier, Wandsworth",BikePoints_302,12,15
"Albert Gate, Hyde Park",BikePoints_303,10,19
"Rathbone Street, Fitzrovia",BikePoints_306,13,1
"Black Lion Gate, Kensington Gardens",BikePoints_307,5,18
"Long Lane , Bermondsey",BikePoints_308,9,11
"Embankment (Savoy), Strand",BikePoints_309,22,19
"Black Prince Road, Vauxhall",BikePoints_310,6,13
"Foley Street, Fitzrovia",BikePoints_311,20,4
"Grove End Road, St. John's Wood",BikePoints_312,3,16
"Wells Street, Fitzrovia",BikePoints_313,36,0
"Tyers Gate, Bermondsey",BikePoints_314,12,24
"The Tennis Courts, The Regent's Park",BikePoints_315,5,11
"Warwick Row, Westminster",BikePoints_316,19,1
"Dickens Square, Borough",BikePoints_317,16,16
"Sackville Street, Mayfair",BikePoints_318,15,2
"Baldwin Street, St. Luke's",BikePoints_319,15,6
"Queen Mother Sports Centre, Victoria",BikePoints_320,2,22
"Bermondsey Street, Bermondsey",BikePoints_321,5,18
"Palissy Street, Shoreditch",BikePoints_322,8,17
"Clifton Street, Shoreditch",BikePoints_323,20,4
"Ontario Street, Elephant & Castle",BikePoints_324,3,12
"St. Martin's Street, West End",BikePoints_325,17,1
"Graham Street, Angel",BikePoints_326,1,25
"Westbourne Green, Westbourne",BikePoints_327,2,18
"New North Road 2, Hoxton",BikePoints_328,19,3
"Prince Albert Road, The Regent's Park",BikePoints_329,3,19
"Bunhill Row, Moorgate",BikePoints_331,27,1
"Nevern Place, Earl's Court",BikePoints_332,4,16
"Palace Gardens Terrace, Notting Hill",BikePoints_333,4,32
"Tavistock Street, Covent Garden",BikePoints_335,31,1
